id,title,year,title,maize,sorghum,millets,rice,soybean,other-crops,association-studies,genomics,transcriptomics,image-analysis,quantitative-genetics,ai-ml,engineering,comparative-genomics,genome-editing,genotype-environment-interaction,flowering-time,stress-tolerance,photosynthesis,microbiome,nitrogen,phenomics,review-methods,data-release
2026-qc-genomes-to-fields-competition,Genomes to Fields 2024 Maize Genotype by Environment Prediction Competition,2026,Genomes to Fields 2024 Maize Genotype by Environment Prediction Competition,x,,,,,,,,,,,,,,,,,,,,,,,x
2025-m-food-as-medicine,Food as Medicine: Enhancing Crop Breeding and Food Processing to Shift the Gut Microbiome for Pre...,2025,Food as Medicine: Enhancing Crop Breeding and Food Processing to Shift the Gut Microbiome for Pre...,,,,,,,,,,,,,,,,,,,,x,,,x,
2025-n-offtheshelf-image-analysis,Off-the-shelf image analysis models outperform human visual assessment in identifying genes contr...,2025,Off-the-shelf image analysis models outperform human visual assessment in identifying genes contr...,,x,,,,,x,,,x,,,,,,,,,,,,x,,
2025-v-genetic-variation-and-historical,Genetic variation and historical breeding patterns in common bean (Phaseolus vulgaris L.) affect ...,2025,Genetic variation and historical breeding patterns in common bean (Phaseolus vulgaris L.) affect ...,,,,,,x,x,,,,,,,,,,,,,x,,,,
2025-w-quantitative-genetics-of,Quantitative genetics of photosynthetic trait variation in maize.,2025,Quantitative genetics of photosynthetic trait variation in maize.,x,,,,,,x,,,,,,,,,,,,x,,,,,
2025-h-genes-and-pathways,Genes and pathways determining flowering time variation in temperate adapted sorghum.,2025,Genes and pathways determining flowering time variation in temperate adapted sorghum.,,x,,,,,x,,x,,,,,,,,x,,,,,,,
2025-d-heritability-heterosis-and,"Heritability, heterosis, and hybrid/inbred classification ability of maize leaf hyperspectral sig...",2025,"Heritability, heterosis, and hybrid/inbred classification ability of maize leaf hyperspectral sig...",x,,,,,,,,,,x,,,,,,,,,,x,x,,
2025-n-plotlevel-satellite-imagery,Plot-level satellite imagery can substitute for UAVs in assessing maize phenotypes across multist...,2025,Plot-level satellite imagery can substitute for UAVs in assessing maize phenotypes across multist...,x,,,,,,,,,x,,,,,,,,,,,,x,x,x
2025-jm-assessing-the-impact,Assessing the impact of yield plasticity on hybrid performance in maize.,2025,Assessing the impact of yield plasticity on hybrid performance in maize.,x,,,,,,,,,,x,,,,,x,,,,,,,,
2025-rk-transcripts-and-genomic,Transcripts and genomic intervals associated with variation in metabolite abundance in maize leav...,2025,Transcripts and genomic intervals associated with variation in metabolite abundance in maize leav...,x,,,,,,x,x,,,,,,,,,,,,,,,,
2025-jm-d-reconstruction-enables,3D reconstruction enables high-throughput phenotyping and quantitative genetic analysis of phyllo...,2025,3D reconstruction enables high-throughput phenotyping and quantitative genetic analysis of phyllo...,,x,,,,,,,,x,,,,,,,,,,,,x,x,
2025-f-nighttime-fluorescence-phenotyping,Nighttime fluorescence phenotyping reduces environmental variability for photosynthetic traits an...,2025,Nighttime fluorescence phenotyping reduces environmental variability for photosynthetic traits an...,x,,,,,,,,,,,,,,,,,,x,,,,,
2025-jv-evolving-best-practices,Evolving best practices for transcriptome-wide association studies accelerate discovery of gene-p...,2025,Evolving best practices for transcriptome-wide association studies accelerate discovery of gene-p...,x,,,,,,x,,x,,,,,,,,,,,,,,x,
2025-h-nitrogen-response-and,Nitrogen response and growth trajectory of sorghum CRISPR-Cas9 mutants using high-throughput phen...,2025,Nitrogen response and growth trajectory of sorghum CRISPR-Cas9 mutants using high-throughput phen...,,x,,,,,,,,,,,,,x,,,,,,x,,,
2025-zhongjie-scalable-methods-for,Scalable methods for quantifying the stay green ability of corn for yield prediction by using sat...,2025,Scalable methods for quantifying the stay green ability of corn for yield prediction by using sat...,x,,,,,,,,,x,,x,,,,,,,,,,x,,
2025-h-maizeearsam-zeroshot-maize,MaizeEar-SAM: Zero-shot maize ear phenotyping.,2025,MaizeEar-SAM: Zero-shot maize ear phenotyping.,x,,,,,,,,,,,x,,,,,,,,,,x,,
2025-a-enhancing-yield-prediction,Enhancing yield prediction from plot-level satellite imagery through genotype and environment fea...,2025,Enhancing yield prediction from plot-level satellite imagery through genotype and environment fea...,x,,,,,,,,,x,x,x,,,,x,,,,,,x,,
2025-jo-designing-a-nitrogen,Designing a nitrogen efficient cold tolerant maize for modern agricultural systems.,2025,Designing a nitrogen efficient cold tolerant maize for modern agricultural systems.,x,,,,,,,,,,,,,,,,,x,,,x,,x,
2025-k-employing-spectral-features,Employing spectral features to accelerate sorghum phenotyping against sap-feeding aphids.,2025,Employing spectral features to accelerate sorghum phenotyping against sap-feeding aphids.,,x,,,,,,,,,,,,,,,,,,,,x,,
2025-tn-in-context-promoter,In context promoter bashing of the Sorghum bicolor gene models functionally annotated as bundle s...,2025,In context promoter bashing of the Sorghum bicolor gene models functionally annotated as bundle s...,,x,,,,,,,,,,,,,x,,,,x,,,,,
2025-f-phenotypic-plasticity-in,Phenotypic plasticity in maize grain yield: genetic and environmental insights of response to env...,2025,Phenotypic plasticity in maize grain yield: genetic and environmental insights of response to env...,x,,,,,,,x,,,,,,,,x,,,,,,,,
2025-p-positioning-accuracy-of,Positioning accuracy of RTK-GNSS-enabled drones and their performance in agricultural crop sensing.,2025,Positioning accuracy of RTK-GNSS-enabled drones and their performance in agricultural crop sensing.,,,,,,,,,,,,,,,,,,,,,,x,,
2025-mc-predicting-complex-phenotypes,Predicting complex phenotypes using multi-omics data in maize.,2025,Predicting complex phenotypes using multi-omics data in maize.,x,,,,,,,,x,,x,,,,,,,,,,,,,
2025-n-sequence-based-classifier,A sequence-based classifier distinguishes phenotype-associated genes from other gene models in pl...,2025,A sequence-based classifier distinguishes phenotype-associated genes from other gene models in pl...,,,,,,,,x,,,,x,,x,,,,,,,,,,
2025-a-unveiling-shared-genetic,Unveiling shared genetic regulators for plant architectural and biomass yield traits in sorghum.,2025,Unveiling shared genetic regulators for plant architectural and biomass yield traits in sorghum.,,x,,,,,x,,,,x,,,,,,,,,,,x,,
2023-j-phenotypic-variation-in,Phenotypic variation in maize can be largely explained by genetic variation at transcription fact...,2025,Phenotypic variation in maize can be largely explained by genetic variation at transcription fact...,x,,,,,,,x,,,,,,,,,,,,,,,,
2024-jv-population-level-gene,Population level gene expression can repeatedly link genes to functions in maize.,2024,Population level gene expression can repeatedly link genes to functions in maize.,x,,,,,,x,,x,,,,,,,,x,,,,,,,
2024-mc-data-driven-discovery,Data driven discovery and quantification of hyperspectral leaf reflectance phenotypes across a ma...,2024,Data driven discovery and quantification of hyperspectral leaf reflectance phenotypes across a ma...,x,,,,,,,,,,x,x,,,,,,,,,,x,,
2024-n-genomic-colocalization-of,Genomic co-localization of variation affecting agronomic and human gut microbiome traits in a met...,2024,Genomic co-localization of variation affecting agronomic and human gut microbiome traits in a met...,,x,,,,,,x,,,,,,,,,,,,x,,,,
2024-h-imitating-the-breeders,"Imitating the ""breeder’s eye"": predicting grain yield from measurements of non-yield traits.",2024,"Imitating the ""breeder’s eye"": predicting grain yield from measurements of non-yield traits.",x,,,,,,,,,,x,x,,,,,,,,,,,,
2024-mc-models-trained-to,Models trained to predict differential expression across plant organs identify distal and proxima...,2024,Models trained to predict differential expression across plant organs identify distal and proxima...,,,,,,,,,x,,,x,,,,,,,,,,,,
2024-skk-rhythmic-lipid-and,Rhythmic lipid and gene expression responses to chilling in panicoid grasses.,2024,Rhythmic lipid and gene expression responses to chilling in panicoid grasses.,x,x,,,,,,,x,,,,,x,,,,x,,,,,,
2024-h-thi-gene-evolutionary,THI1 gene evolutionary trends: A comprehensive plant-focused Assessment via data Mining and large...,2024,THI1 gene evolutionary trends: A comprehensive plant-focused Assessment via data Mining and large...,,,,,,,,x,,,,,,,,,,,,x,,,,
2024-km-variation-in-leaf,Variation in leaf chlorophyll concentration in response to nitrogen application across maize hybr...,2024,Variation in leaf chlorophyll concentration in response to nitrogen application across maize hybr...,x,,,,,,,,,,,,,,,,,,x,,x,,,
2024-d-twas-facilitates-genescale,"TWAS facilitates gene-scale trait genetic dissection through gene expression, structural variatio...",2024,"TWAS facilitates gene-scale trait genetic dissection through gene expression, structural variatio...",,,,,x,,x,,x,,,,,,,,,,,,,,,
2024-s-nonphotochemical-quenching-kinetics,Nonphotochemical quenching kinetics GWAS in sorghum identifies genes that may play conserved role...,2024,Nonphotochemical quenching kinetics GWAS in sorghum identifies genes that may play conserved role...,x,x,,,,,x,,,,,,,x,,,,,x,,,,,
2024-i-sorghum-segmentation-and,Sorghum segmentation and leaf counting using an in silico trained deep neural model.,2024,Sorghum segmentation and leaf counting using an in silico trained deep neural model.,,x,,,,,,,,x,,x,,,,,,,,,,,,
2024-a-disentangling-genotype-and,Disentangling genotype and environment specific latent features for improved trait prediction usi...,2024,Disentangling genotype and environment specific latent features for improved trait prediction usi...,,,,,,,,,,,x,x,,,,x,,,,,,,,
2024-s-genotypespecific-nonphotochemical-quenching,Genotype-specific nonphotochemical quenching responses to nitrogen deficit are linked to chloroph...,2024,Genotype-specific nonphotochemical quenching responses to nitrogen deficit are linked to chloroph...,x,,,,,,,,,,,,,,,,,,x,,x,,,
2024-y-dissecting-the-genetic,Dissecting the genetic architecture of sunflower disc diameter using genome-wide association study.,2024,Dissecting the genetic architecture of sunflower disc diameter using genome-wide association study.,,,,,,x,x,,,,,,,,,,,,,,,,,
2024-j-genetic-and-environmental,Genetic and environmental patterns underlying phenotypic plasticity in flowering time and plant h...,2024,Genetic and environmental patterns underlying phenotypic plasticity in flowering time and plant h...,,x,,,,,,,,,,,,,,x,x,,,,,,,
2024-r-genomewide-association-study,Genome-wide association study reveals marker-trait associations for major agronomic traits in pro...,2024,Genome-wide association study reveals marker-trait associations for major agronomic traits in pro...,,,x,,,,x,,,,,,,,,,,,,,,,,
2024-l-gwas-analysis-for,GWAS analysis for plant height and stem diameter in sorghum using multiple phenotyping approaches.,2024,GWAS analysis for plant height and stem diameter in sorghum using multiple phenotyping approaches.,,x,,,,,x,,,,,,,,,,,,,,,,,
2024-g-highthroughput-physiological-phenotyping,High-throughput physiological phenotyping of crop evapotranspiration at the plot scale.,2024,High-throughput physiological phenotyping of crop evapotranspiration at the plot scale.,,,,,,,,,,x,,,,,,,,,,,,x,,
2024-e-image-filtering-to,Image filtering to improve maize tassel detection accuracy using machine learning algorithms.,2024,Image filtering to improve maize tassel detection accuracy using machine learning algorithms.,x,,,,,,,,,x,,,,,,,,,,,,,,
2024-r-optimizing-feature-selection,Optimizing feature selection with gradient boosting machines in PLS regression for predicting moi...,2024,Optimizing feature selection with gradient boosting machines in PLS regression for predicting moi...,x,,,,,,,,,,,,,,,,,,,,,,,
2024-a-plantsegnet-d-point,PlantSegNet: 3D point cloud instance segmentation of nearby plant organs with identical semantics.,2024,PlantSegNet: 3D point cloud instance segmentation of nearby plant organs with identical semantics.,,,,,,,,,,x,,x,,,,,,,,,,x,,
2023-g-a-role-for,A role for heritable transcriptomic variation in maize adaptation to temperate environments.,2023,A role for heritable transcriptomic variation in maize adaptation to temperate environments.,x,,,,,,,x,x,,x,,,,,,,,,,,,,
2023-m-a-common-resequencingbased,A common resequencing-based genetic marker dataset for global maize diversity.,2023,A common resequencing-based genetic marker dataset for global maize diversity.,x,,,,,,,x,,,x,,,,,,,,,,,,,x
2023-s-genetic-control-of,Genetic control of photoprotection and photosystem II operating efficiency in plants.,2023,Genetic control of photoprotection and photosystem II operating efficiency in plants.,x,,,,,,x,,,,,,,,,,,,x,,,,,
2023-m-multiview-triangulation-without,Multi-view triangulation without correspondences.,2023,Multi-view triangulation without correspondences.,,,,,,,,,,x,,,,,,,,,,,,x,,
2023-dc-field-seasons-of,2018–2019 field seasons of the Maize Genomes to Fields (G2F) G x E project.,2023,2018–2019 field seasons of the Maize Genomes to Fields (G2F) G x E project.,x,,,,,,,,,,,,,,,,,,,,,,,x
2023-dc-field-seasons-of,2020-2021 field seasons of Maize GxE project within the Genomes to Fields Initiative.,2023,2020-2021 field seasons of Maize GxE project within the Genomes to Fields Initiative.,x,,,,,,,,,,,,,,,,,,,,,,,x
2023-j-a-complete-telomeretotelomere,A complete telomere-to-telomere assembly of the maize genome.,2023,A complete telomere-to-telomere assembly of the maize genome.,x,,,,,,,x,,,,,,,,,,,,,,,,
2023-nk-a-leaflevel-spectral,A leaf-level spectral library to support high throughput plant phenotyping: Predictive accuracy a...,2023,A leaf-level spectral library to support high throughput plant phenotyping: Predictive accuracy a...,x,x,,,,,,,,x,,,,,,,,,,,,x,,x
2023-m-localization-of-crop,Localization of crop damage utilizing a wake up gas sensor network.,2023,Localization of crop damage utilizing a wake up gas sensor network.,,,,,,,,,,,,,x,,,,,,,,,,,
2023-r-multiple-highly-expressed,Multiple highly expressed phosphoenolpyruvate carboxylase genes have divergent enzyme kinetic pro...,2023,Multiple highly expressed phosphoenolpyruvate carboxylase genes have divergent enzyme kinetic pro...,,,,,,,,,,,,,,,,,,,x,,,,,
2023-ac-oligogalactolipid-production-during,Oligogalactolipid production during cold challenge is conserved in early diverging lineages.,2023,Oligogalactolipid production during cold challenge is conserved in early diverging lineages.,,,,,,,,,,,,,,,,,,x,,,,,,
2023-c-role-of-the,Role of the genomics–phenomics–agronomy paradigm in plant breeding.,2023,Role of the genomics–phenomics–agronomy paradigm in plant breeding.,,,,,,,,,,,,,,,,,,,,,,,x,
2023-d-yield-prediction-through,"Yield prediction through integration of genetic, environment, and management data through deep le...",2023,"Yield prediction through integration of genetic, environment, and management data through deep le...",,,,,,,,,,,,x,,,,x,,,,,,,,
2022-rv-association-mapping-across,Association mapping across a multitude of traits collected in diverse environments identifies ple...,2022,Association mapping across a multitude of traits collected in diverse environments identifies ple...,x,,,,,,x,,,,,,,,,,,,,,,,,x
